Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction,Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,0,"半 | , | 身体 | <|ja|> | 算 | comm",<|0.00|> | surrounding | ness | 周围 | 遗忘 | 周围的,surrounding | ness | 周围的 | 周围 | 包围 | <|0.00|>,surrounding | nearby | around | and | 四周 | 什么事情,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,8,", |  | and | ( | ' | g",包围 | surrounding | 周围 | 环绕 | 周围的 | surround,包围 | surrounding | 周围 | 环绕 | 周围的 | 周边,surrounding | 周围 | 包围 | 环绕 | 周围的 | 周边,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,16," | , | - | - | 融为一体 | s",包围 | 周围的 | surrounding | 周围 | 环绕 | surround,包围 | 周围的 | surrounding | 周围 | 环绕 | 一圈,包围 | 周围的 | surrounding | 一圈 | 环绕 | 周围,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,20, | air | 捧 | - | 一股 | (,周围的 | 周围 | 空气 | air | 一圈 | 包围,air | 空气 | 周围的 | 一圈 | 包围 | 周围,air | 空气 | 包围 | 一圈 | atmosphere | 周围的,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,24,air | 空气 | air | Air | atmosphere | airs,air | 空气 | air | Air | 空气中 | atmosphere,air | 空气 | air | Air | 空气中 | atmosphere,air | 空气 | air | 空气中 | atmosphere | aire,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,28,air | 空气 | air | Air | airs | ,air | 空气 | air | Air | airs | atmosphere,air | 空气 | air | atmosphere | Air | airs,air | 空气 | air | atmosphere | aire | Air,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,198, surrounding,air | 空气 | airs | atmosphere | <|im_end|> | a,30,air | 空气 |  | air | Air | airs,air | 空气 | air | a | atmosphere | airs,air | 空气 | <|im_end|> | atmosphere | air | airs,air | 空气 | <|im_end|> | atmosphere | air | airs,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,0,ly | extr | 不 | 诺 | 部 | 专门,碘 | 遗忘 | 家庭 | <|0.00|> | ollapsed | 惴,componentDidUpdate | Gł | inward | toward | 琛 | 遗忘,componentDidUpdate | Gł | toward | componentWill | echoing | 什么事情,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,8,"ine | /out |  | ly | dep | ,",itself | wards | inward | 自身 | ward | 便是,wards | inward | itself | /out | ward | 越,越 | 向上 | slow | 逆 | wards | ingly,
ASR held-out example,VAL_ASR_EN_000,a tornado is a spinning column of very low-pressure air which sucks the surrounding air inward and upward,200, inward,and | <|im_end|> | \ | ly | и | in,16,and | ly | 越 | /out | ively | 按时,"and | . |  | . | , | inward",and | inward | wards | . | /in | at,and | 内外 | into | wards | 以及 | 缘,
