Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction (Top K + Prob Sum),Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),0,失败 | 物 | 增加了 | 消 | 罚 (sum: 0.19),alc | ui | 销 | 点儿 | 消 (sum: 0.08),<|0.00|> | <|25.14|> | <|12.43|> | <|4.30|> | <|14.34|> (sum: 0.16),<|0.00|> | ichten | <|11.43|> | <|25.14|> | <|12.43|> (sum: 0.53)
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),8,物 | 旁 | 失败 | 增加了 | 玄 (sum: 0.07),谐 | 恩 | 滚 | 错 | 盟 (sum: 0.10),霏 | 腔 | 谐 | 错 | 方 (sum: 0.08),霏 | 腔 | <|1.44|> | ota | <|12.07|> (sum: 0.05)
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),16,玄 | 旁 | 物 | 重点关注 | 淮 (sum: 0.16), | feedback | 价值观 | 雷 | 盟 (sum: 0.15),价值观 | 关注 |  | 金属 | 全球 (sum: 0.05),尤为 | 附加 | 关注 | 荸 | Stre (sum: 0.03)
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),20,失败 | 母 | 寸 | 物 | divers (sum: 0.04), | <|im_end|> |  | {' |  (sum: 0.72), | {' |  | tr | AI (sum: 0.27),e | tr | D | I | p (sum: 0.11)
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),24, |  | 腿 | 空 | limitation (sum: 0.33), |  | <|im_end|> |  | <|im_start|> (sum: 1.00), |  |  | <|im_end|> | 腿 (sum: 1.00), |  |  | 腿 | 双腿 (sum: 0.97)
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),28, |  | <|endoftext|> |  | < (sum: 0.99), | <|im_end|> |  | <|im_start|> |  (sum: 1.00),<|im_end|> | <|im_start|> |  |  |  (sum: 1.00),"<|im_end|> | <|im_start|> |  |  | \"":{\"" (sum: 1.00)"
QA held-out example,VAL_QA_000, ,28,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),30, |  | <|im_start|> | <|im_end|> | <|endoftext|> (sum: 1.00), | <|im_start|> | <|im_end|> |  | <|endoftext|> (sum: 1.00), | <|im_start|> | <|im_end|> |  | <|endoftext|> (sum: 1.00),<|im_end|> | <|im_start|> |  |  | <|endoftext|> (sum: 1.00)
QA held-out example,VAL_QA_000, ,41,<|AUDIO|>,sound | <|im_end|> |  | 嗓子 | 羊 (sum: 0.43),0,自卑 | � | anning | 替代 | 而言 (sum: 0.14),这就是 | 的声音 | 声音 | 生素 | 另一位 (sum: 0.11),中国市场 | 是否有 | 侵略 | 的声音 | 他认为 (sum: 0.06),死亡 | <|im_end|> | algun | Carbon | 吃什么 (sum: 0.05)
QA held-out example,VAL_QA_000, ,41,<|AUDIO|>,sound | <|im_end|> |  | 嗓子 | 羊 (sum: 0.43),8,替代 | 密切 | 也知道 | 强大 | 各项工作 (sum: 0.08),而言 | 发音 | 没错 | 转移 | 他知道 (sum: 0.16),而言 | ality | 事 | ict | 担保 (sum: 0.09),ality | 寡 | 一切 | 练 | 加上 (sum: 0.07)
QA held-out example,VAL_QA_000, ,41,<|AUDIO|>,sound | <|im_end|> |  | 嗓子 | 羊 (sum: 0.43),16,演化 | なか | 簟 | 怎么说 | exercício (sum: 0.10),unch | 声音 | 事 | 槌 | 事儿 (sum: 0.09),unch | 事 | 营 | こと | 来看看 (sum: 0.05),加速 | 果 | ivo | 加强 | ica (sum: 0.11)
