Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction (Top K + Prob Sum),Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),0,失败 | 物 | 消 | 增加了 | 罚 (sum: 0.19),alc | ui | 销 | 消 | 管 (sum: 0.09),<|0.00|> | <|25.14|> | <|12.43|> | <|4.30|> | <|14.34|> (sum: 0.16),<|0.00|> | ichten | <|11.43|> | <|12.43|> | <|25.14|> (sum: 0.49)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),2,全 | <|3.02|> | 失败 | 代 | setUp (sum: 0.01),urt | 阔 | rel | gen | letter (sum: 0.13), | <|endoftext|> | 多 | 沉 | <|0.00|> (sum: 0.15),<|0.00|> |  | <|endoftext|> | 多 |  (sum: 0.31)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),4,全 | <|3.02|> | 失败 | 至 | 代 (sum: 0.01),一笔 | 些 | 溶 | <|ja|> | urt (sum: 0.17), | 多 | <|0.00|> | 呈 | 临 (sum: 0.16),<|0.00|> | 多 |  | <|endoftext|> |  (sum: 0.43)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),6,全 | 失败 | 物 | <|3.02|> | 至 (sum: 0.01),构成 | 临 | 某些 | 整体 | 更容易 (sum: 0.06),<|0.00|> |  | <|endoftext|> |  | 多 (sum: 0.49),<|0.00|> | 多 |  |  | <|endoftext|> (sum: 0.44)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),8,物 | 旁 | 全 | 失败 | 玄 (sum: 0.10),雷 | 谐 | 滚 | 正是 | 融 (sum: 0.10),ota | 正是 | 雷 | 霏 | 方 (sum: 0.07),ota | 霏 | <|12.07|> | 共同发展 | ot (sum: 0.08)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),10,物 | 旁 | 玄 | 急 | 虹 (sum: 0.25),雷 | 制 | 虹 | 融 | feedback (sum: 0.11),ota | 雷 | 刚刚 | 尖 | 卷 (sum: 0.10),ota | 刚刚 | 霏 | 共同发展 | <|12.07|> (sum: 0.07)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),12,物 | 虹 | 旁 | 玄 | 正式 (sum: 0.24),雷 | feedback | 梗 | 卷 | 帝国 (sum: 0.06),ota | 刚刚 | 事儿 | 屁 | 雷 (sum: 0.07),ota | 刚刚 | 律 | 拔 | 缆 (sum: 0.08)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),14,物 | 玄 | 虹 | 狗 | 介 (sum: 0.08),事儿 | 哪儿 | feedback | 铁 | 雷 (sum: 0.07),事儿 | 哪儿 | 金属 | 屁 | ota (sum: 0.08),ota | 共同发展 | 拔 | 事儿 | 金属 (sum: 0.04)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),16,介 | 玄 | 期待 | incon | 赴 (sum: 0.04),事儿 | feedback | 哪儿 | 嚼 | 雷 (sum: 0.11),事儿 | 哪儿 | 屁 | 焰 | 刚刚 (sum: 0.15),事儿 | 屁 | 霏 | 刚刚 | 焰 (sum: 0.08)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),18,制 | 侧 | 没能 | 同 | 地 (sum: 0.04),feedback | 哪儿 | 事儿 | 制 | 点儿 (sum: 0.08),事儿 | 哪儿 | 刚刚 | <|0.01|> | 矿 (sum: 0.10),事儿 | 刚刚 | 缆 | 屁 | 哪儿 (sum: 0.07)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),20,地 | 同 | ～ | 没能 | broccoli (sum: 0.08),享受到 | 瘾 | 湾 | feedback | 彻底 (sum: 0.08),屁 | 哪儿 | 享受到 | 彻底 | 冲突 (sum: 0.07),任 | 哪儿 | 回报 | 屁 | 相反 (sum: 0.10)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),22,～ |  | 同 | score | 刚刚 (sum: 0.06),瘾 | 铁 | feedback | 享受到 | 间的 (sum: 0.07),铁 | 冲突 | 感激 | 彼此 | 瘾 (sum: 0.08),回报 | 任 | 事儿 | 胡萝卜 | 冲突 (sum: 0.08)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),24, | 边 | 挺 | 地 | 正 (sum: 0.15),瘾 | brand | 铁 | 双方 | 矿 (sum: 0.07),铁 | 瘾 | 矿 | 感激 | 屁 (sum: 0.07),铁 | 一手 | 矿 | 点儿 | 感激 (sum: 0.06)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),26, |  | 铁 | 地 | 2 (sum: 0.28),瘾 | brand | 铁 |  | 双方 (sum: 0.11),铁 | 双方 | 瘾 | 感激 |  (sum: 0.15),铁 | 感激 | 一手 | 点儿 | 回报 (sum: 0.22)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),28, |  |  | int | 2 (sum: 0.53),brand | 瘾 | 双方 |  | `` (sum: 0.09),铁 | 双方 | 瘾 |  | brand (sum: 0.06),铁 | 瘾 | 双方 | 享受到 | 一手 (sum: 0.05)
QA held-out example,VAL_QA_000, ,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.05),30, |  | 2 |  | 铁 (sum: 0.17), | 双方 | 瘾 | `` | 风格 (sum: 0.06),双方 | 瘾 |  | `` | 风格 (sum: 0.04),双方 | 瘾 | 风格 | 轮廓 | `` (sum: 0.03)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),0,舌 | 浴 | 闹 | 山坡 | 紧迫 (sum: 0.08),<|0.00|> | 缺乏 | 但他 | 沧 | himself (sum: 0.62),但他 | 错误 | 所以他 | 着他 | 窃 (sum: 0.12),(parseFloat | 死亡 | 着他 | userData | Carbon (sum: 0.04)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),2,舌 | 浴 | 山坡 | 列 | 闹 (sum: 0.08),窃 | 帐 | <|0.00|> | 但他 | himself (sum: 0.11),窃 | 帐 | userData | )[: | 드리 (sum: 0.09),(parseFloat | udiante | 📣 | userData | adecimal (sum: 0.05)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),4,舌 | 浴 | 名列 | Pot | 紧迫 (sum: 0.06),himself | kład | 错误 | 在他 | �� (sum: 0.04),userData | 窃 | 드리 | )[: | 帐 (sum: 0.03),udiante | (parseFloat | 📣 | timing | adecimal (sum: 0.03)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),6,舌 | 浴 | 列 | Pot | 名列 (sum: 0.08),<|0.00|> | �� | 叠 | himself | wind (sum: 0.08),Gig | 保管 | 呛 | ming | 窃 (sum: 0.05),当前位置 | (parseFloat | timing | PUTE | udiante (sum: 0.03)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),8,Pot | 浴 | Rank | 珍贵 | 舌 (sum: 0.05),处分 | 错误 | 窃 | 紧密 | ict (sum: 0.08),窃 | 处分 | 员 | il | ur (sum: 0.15),员 | 窃 | ess | 裹 | il (sum: 0.11)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),10,珍贵 | 旁 | Trust | 一样 | 喉咙 (sum: 0.13),潮湿 | 在他 | 他自己 | ming | 仍在 (sum: 0.10),员 | 窃 | 处分 | ur | il (sum: 0.14),员 | ess | 处分 | il | 裹 (sum: 0.12)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),12,珍贵 | Trust | 喉咙 | 舌头 | 东路 (sum: 0.15),潮湿 | ur | 处分 | 员 | 他说 (sum: 0.08),il | 处分 | 员 | ur | 窃 (sum: 0.20),il | ess | 员 | 处分 | 窃 (sum: 0.20)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),14,珍贵 | 喉咙 | 舌头 | 翻 | Trust (sum: 0.16),潮湿 | ding | unch | 处分 | 员 (sum: 0.09),处分 | 员 | il | ur | ding (sum: 0.10),il | ess | cing | 处分 | 员 (sum: 0.13)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),16,珍贵 | 喉咙 | 翻 | Trust | 同意 (sum: 0.18),潮湿 | 员 | 处分 | unch | 仍在 (sum: 0.13),员 | 处分 | il | ding | ron (sum: 0.12),员 | cing | il | 处分 | 窃 (sum: 0.08)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),18,ger | 珍贵 | 旁 | 质 | 较大 (sum: 0.11),潮湿 | 仍在 | 处分 | inal | 正在进行 (sum: 0.38),处分 | 仍在 | inal | 潮湿 | ding (sum: 0.19),处分 | 仪式 | 保管 | inal | ult (sum: 0.09)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),20,喉咙 | 较大 | 万千 | 翻 | 质 (sum: 0.10),潮湿 | 仍在 | 处分 | inal | 清晰 (sum: 0.19),处分 | 仍在 | 嘴唇 | inal | ron (sum: 0.12),处分 | 员 | 自身的 | cing | hang (sum: 0.09)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),22,ly | 喝 | 事 | 较大 | ron (sum: 0.28),潮湿 | ly | 吹 | ry | 处分 (sum: 0.16),ly | 处分 | 项目经理 | spot | ote (sum: 0.10),自身的 | 处分 | 项目经理 | ote | 仪式 (sum: 0.10)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),24,ly |  | ron | 较大 | ry (sum: 0.18),ly | 潮湿 | ron | 嚓 | ry (sum: 0.20),ly | ron | 处分 | 部 | 员 (sum: 0.11),间接 | 部 | ly | ote | 处分 (sum: 0.07)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),26, | ly | ed | 部 | s (sum: 0.26),潮湿 | 相当于 | ly | 嚓 | ify (sum: 0.19),潮湿 | ly | ize | 夹 | 相当于 (sum: 0.11),ize | 部 | 夹 | ais | ly (sum: 0.07)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),28, | s | ly | B | 着 (sum: 0.54),ly | 相当于 | ron | ize | 鼻子 (sum: 0.18),ly | 相当于 | ize | ist | 鼻子 (sum: 0.16),ly | ist | ize | ite | ice (sum: 0.12)
QA held-out example,VAL_QA_000, ,6,<|AUDIO|>,ry | 成就 | ly | 相当于 | ron (sum: 0.21),30, | ry |  | 立 | result (sum: 0.11),s | 相当于 | ry | a | 鼻子 (sum: 0.16),ry | 鼻子 | 相当于 | ly | 翻 (sum: 0.12),鼻子 | ry | 翻 | 相当于 | ly (sum: 0.10)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),0,自卑 | 悠悠 | 思索 | 额外 | 榨 (sum: 0.23),月亮 | 在这个 | tridges | 迟到 | 今天的 (sum: 0.05),ambitions | 恰当 | 错误 | 在这个 | 挂 (sum: 0.05),恰当 | 赌 | 个人观点 | BERT | 衔接 (sum: 0.03)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),2,自卑 | 悠悠 | 思索 | 额外 | rev (sum: 0.18),stat | 诀 | 绝对 | 百姓 | 滩 (sum: 0.09),机能 | 说话 | 玩笑 | ICT | 斯顿 (sum: 0.07),犯 | BERT | 机能 | 或许是 | 恰当 (sum: 0.04)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),4,自卑 | 窃 | 悠悠 | 额外 | anning (sum: 0.20),而言 | stat | 发音 | 诀 | 老百姓 (sum: 0.09),说话 | 机能 | 舌头 | 声音 | 子 (sum: 0.08),犯 | 体 | BERT | 或许是 | 鐵 (sum: 0.06)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),6,自卑 | rev | 那个 | � | 悠悠 (sum: 0.19),而言 | stat | 馒头 | 寡 | 海绵 (sum: 0.13),说话 | 舌头 | 恰当 | 子 | 声音 (sum: 0.09),犯 | 体 | BERT | 鐵 | 舌头 (sum: 0.07)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),8,深知 | 自卑 | 奕 | 那个 | 窃 (sum: 0.12),而言 | 不对 | 下一个 | � | ICT (sum: 0.09),毛 | 而言 | 凉 | 子 | 机遇 (sum: 0.07),铁 | 子 | 毛 | 谷 | 加上 (sum: 0.13)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),10,庶 | 深知 | anning | 自卑 | rev (sum: 0.11),而言 | ICT | 空 | 鸣 | 模糊 (sum: 0.19),而言 | 子 | 当下 | 机遇 | 则是 (sum: 0.08),铁 | 毛 | 子 | 谷 | 孔 (sum: 0.13)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),12,庶 | 深知 | 遥 | 见过 | rev (sum: 0.11),声音 | 音响 | 台 | 鸣 | 声响 (sum: 0.10),说话 | 当下 | 台 | 子 | 声音 (sum: 0.08),铁 | 毛 | 孔 | � | 当下 (sum: 0.10)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),14,深知 | 层次 | Iron | 落 | 见过 (sum: 0.08),录音 | 声响 | 鸣 | unch | 事儿 (sum: 0.09),说话 | 机遇 | 当下 | 逐渐 | 毛 (sum: 0.07),铁 | 毛 | 加上 | 尤其 | 具 (sum: 0.12)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),16,深知 | 陶 | 式 | 婚 | 型 (sum: 0.10),说话 | 事儿 | unch | 声响 | 录音 (sum: 0.11),说话 | 子 | 事儿 | 逐渐 | 机遇 (sum: 0.08),� | 毛 | 尤其 | 令 | 铁 (sum: 0.10)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),18,陶 | 方式进行 | 型 | 世界的 | ike (sum: 0.07),万亿 | 最後 | Dungeons | 事儿 | 滩 (sum: 0.09),Dungeons | 万亿 | 说话 | 充分利用 | 担保 (sum: 0.08),Dungeons | � | 尤其 | 毛 | 孔 (sum: 0.08)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),20,籍 | 型 | 制造 | 包括 | 技 (sum: 0.15),模糊 | 咔 | 深知 | 万亿 | 充分利用 (sum: 0.06),典 | Dungeons | 制造 | 紧密 | ans (sum: 0.05),典 | ans | Dungeons | .v | 紧密 (sum: 0.05)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),22,型 |  | 籍 | 确实 |  (sum: 0.34), |  | 事儿 | 铁 | 婚 (sum: 0.18), |  | 铁 | 型 | 一切 (sum: 0.15), | 铁 | 型 | 一切 | 典 (sum: 0.10)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),24, |  | 型 | ( | - (sum: 0.28), |  | 清 | – | 义务 (sum: 0.43), |  | 义务 | 典 | 型 (sum: 0.35), |  | 典 | 义务 | 型 (sum: 0.25)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),26, |  |  | iron | . (sum: 0.25), |  | } | 义务 |  (sum: 0.73), |  | } | 义务 |  (sum: 0.62), | } |  | 义务 | 典 (sum: 0.40)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),28, |  |  | 转 | 跟 (sum: 0.58), |  |  | } | 义务 (sum: 0.85), |  |  | } | 义务 (sum: 0.73), | } |  | 调整 |  (sum: 0.40)
QA held-out example,VAL_QA_000, ,11,<|AUDIO|>, |  |  | tel | 尽可能 (sum: 0.57),30, |  | 清 | 周期 | 后 (sum: 0.29), |  |  | 清 | 周期 (sum: 0.51), | 清 |  |  | 周期 (sum: 0.26), | 清 | 周期 | <|im_end|> |  (sum: 0.12)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),0,estate | 怎么样 | brid | 自卑 | 泰 (sum: 0.16),这就是 | 的声音 | 就在 | Fasc | 声音 (sum: 0.20),交汇 | 掌声 | 的声音 | 是不是 | vad (sum: 0.14),交汇 | 出轨 | 分明 | mtime | 儿 (sum: 0.05)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),2,estate | brid | 怎么样 | 泰 | 人家 (sum: 0.13),清洁 | 的声音 | 错误 | 声音 | 窃 (sum: 0.16),儿 | 窃 | 交汇 | 错误 | ambition (sum: 0.09),Emoji | 大切 | 儿 | Incorrect | 投资基金 (sum: 0.05)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),4,estate | 怎么样 | anning | distinctive | 泰 (sum: 0.10),错误 | 声 | 后台 | 诀 | relevant (sum: 0.09),声 | heapq | 儿 | 青铜 | vad (sum: 0.06),Emoji | 删除 | 风控 | timing | 大切 (sum: 0.04)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),6,怎么样 | 旱 | 造成 | 委屈 | 优越 (sum: 0.10),饮用 | 错误 | 声 | 叠 | 声音 (sum: 0.12),青铜 | 儿 | 声 | 大切 | 舌头 (sum: 0.08),大切 | 风控 | Emoji | 换取 | 在线角色 (sum: 0.04)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),8,怎么样 | � | 造成 | 周围 | 亘 (sum: 0.13),错误 | 饮用 | 猾 | 耳边 | 声音 (sum: 0.12),饮用 | 便是 | 率先 | 错误 | � (sum: 0.05),GCC | � | 风控 | 掀 | 便是 (sum: 0.03)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),10,怎么样 | � | 亘 | 造成 | 闺 (sum: 0.11),声音 | 声 | 声响 | 他说 | 饮用 (sum: 0.34),声 | � | 声音 | 大声 | 儿 (sum: 0.17),� | GCC | 阅 | ys | ur (sum: 0.10)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),12,怎么样 | 亘 | 口 | � | Phys (sum: 0.14),声 | 声音 | 儿 | 声响 | 音 (sum: 0.61),声 | 儿 | � | GCC | fore (sum: 0.25),� | fore | GCC | 阅 | 掀 (sum: 0.21)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),14,口 | 怎么样 | 审视 | � | 享 (sum: 0.16),声 | 声音 | 儿 | 声响 | 耳边 (sum: 0.39),� | 声 | 儿 | imes | GCC (sum: 0.28),� | GCC | Garcia | fore | 很难 (sum: 0.43)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),16,口 | 怎么样 | 制造 | 进行全面 | 之间 (sum: 0.59),声 | 声音 | 儿 | 喉 | 引擎 (sum: 0.39),� | 声 | 儿 | 喉 | 事儿 (sum: 0.19),� | Garcia | 两周 | fore | GCC (sum: 0.35)
QA held-out example,VAL_QA_000, ,16,<|AUDIO|>,期刊 | er | om | 加以 | 镜 (sum: 0.10),18,口 | 制造 | 怎么样 | m | 事儿 (sum: 0.29),声 | 事儿 | 儿 | 喉 | 让您 (sum: 0.19),事儿 | 儿 | � | 声 | 两周 (sum: 0.16),� | 两周 | 事儿 | 代 | 周期 (sum: 0.16)
