Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction (Top K + Prob Sum),Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),0,戴 | 不合适 | 腔 | 让我 | 物 (sum: 0.07),恣 | 管 | 孔 | <|24.40|> | 体制 (sum: 0.14),<|0.00|> | <|12.43|> | <|4.30|> | 阳 | <|14.34|> (sum: 0.16),<|0.00|> | <|12.43|> | <|11.43|> | <|4.30|> | <|27.01|> (sum: 0.56)
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),8,物 | 虹 | 全 | 戴 | 旁 (sum: 0.05),溶 | 梗 | 奴 | 麦 | 腔 (sum: 0.10),溶 | 屁 | 腔 | 谱 | 劈 (sum: 0.20),屁 | 溶 | 腔 | 劈 | Lot (sum: 0.11)
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),16,腔 | 虹 | ins | � | 界定 (sum: 0.06),帝国 | 屁 | 博士 | 琼 | 哪儿 (sum: 0.06),屁 | 焰 | 排气 | 拔 | � (sum: 0.19),屁 | � | 焰 | 排气 | 拔 (sum: 0.14)
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),20,� | 扣 | 附 | 宋 | 鸣 (sum: 0.09),<|0.01|> | 博士 | 瘾 | 享受到 | 湾 (sum: 0.14),oler | 屁 | 享受到 | 瘾 | 回报 (sum: 0.10),oler | 回报 | 屁 | 享受到 | 划 (sum: 0.06)
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),24,"死 |  | "" | � | style (sum: 0.06)",免疫 | 男友 | 隶 | : | 博士 (sum: 0.06),免疫 | 尝 | ... | style | 博士 (sum: 0.07),一手 | 免疫 | 尝 | 回报 | 屁 (sum: 0.08)
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),28," | int |  | "" | 毁 (sum: 0.20)",男友 | `` | 纲 | 免疫 | 出游 (sum: 0.10),男友 | 纲 | 免疫 | 出游 | 立刻 (sum: 0.08),纲 | 男友 | 尝 | 免疫 | 出游 (sum: 0.06)
QA held-out example,VAL_QA_020,thunderstorm,1,<|AUDIO|>,2 | 浓厚 | 免疫 | 立刻 | 隔 (sum: 0.07),30, | 隔 | 2 | 公共 | 免疫 (sum: 0.11),男友 | `` | 隔 | 毁 | 公共 (sum: 0.07),男友 | 隔 | `` | 立刻 | 链 (sum: 0.05),立刻 | 男友 | 隔 | 链 | 浓厚 (sum: 0.04)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),0,回事 | 打仗 | 裸 | iso | ipy (sum: 0.22),珊 | 当做 | 凤凰 | 蚤 | 瑕疵 (sum: 0.21),珊 | 雷斯 | 赐 | 剂 | 姻 (sum: 0.36),abbix | 墩 | 雷斯 | 赐 | 特斯 (sum: 0.18)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),8,僵 | 打破 | 回事 | 长久 | 海量 (sum: 0.13),打破 | 凤凰 | golden | 一枚 | 除去 (sum: 0.05),墩 | 赐 | 胸部 | ill | 打破 (sum: 0.07),墩 | 心动 | 赐 | 裸 | thunder (sum: 0.16)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),16,ly | es | rr | ment | ies (sum: 0.15),大雨 | 壮 | 雷 | 暴雨 | 避 (sum: 0.12),壮 | 气象 | 霖 | 雷 | 降 (sum: 0.15),蚀 | 备用 | ava | 气象 | am (sum: 0.13)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),20,加 | es | 遥远 | ly | 准备 (sum: 0.07),雷 | 大雨 | 气象 | thunder | 准备工作 (sum: 0.66),雷 | thunder | 大雨 | 气象 | 雷霆 (sum: 0.74),thunder | 雷 | 雷霆 | 气象 | 大雨 (sum: 0.64)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),24,es | ly | oc | ment | ing (sum: 0.37),雷 | thunder | 准备 | 嘉 | Thunder (sum: 0.64),thunder | 雷 | 准备 | 嘉 | es (sum: 0.57),thunder | 雷 | ing | 嘉 | es (sum: 0.38)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),28,es | 雷 | y | ing | ly (sum: 0.36),thunder | 雷 | es | storm | lightning (sum: 0.46),thunder | storm | es | ing | lightning (sum: 0.46),thunder | storm | ing | es | lightning (sum: 0.37)
QA held-out example,VAL_QA_020,thunderstorm,14,<|AUDIO|>,storm | es | ess | 大雨 | 诺 (sum: 0.33),30,es | 的大 | ment | 大雨 | storm (sum: 0.36),es | storm | ment | ess | 大雨 (sum: 0.58),storm | es | ment | ess | 大雨 (sum: 0.56),storm | es | 大雨 | ment | ess (sum: 0.55)
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),0,打仗 | 推广 | ata | 最快 | 拍 (sum: 0.11),予 | 另一位 | 喀 | 姻 | 的信息 (sum: 0.17),空中 | 珊 | 般的 | 另行 | 盏 (sum: 0.12),abbix | 般的 | 有色 | 室内 | 备用 (sum: 0.10)
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),8,斟 | 揭 | 嬉 | 仍 | 确 (sum: 0.21),岛 | 的声音 | 空中 | bro | 茅 (sum: 0.08),岛 | 空中 | 般的 | 般 | 备用 (sum: 0.08),备用 | екс | 赐 | 般 | 慢慢 (sum: 0.07)
QA held-out example,VAL_QA_020,thunderstorm,28,<|AUDIO|>,ing | ed | ers | oms | 逊 (sum: 0.33),16,嬉 | 吻 | ing | 拍 | 所有的 (sum: 0.08),壮 | 功课 | 另行 | 等候 | ing (sum: 0.08),另行 | 备用 | ing | ition | الجو (sum: 0.11),备用 | oms | aking | ition | ation (sum: 0.09)
