Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction (Top K + Prob Sum),Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),0,失败 | 物 | 消 | 增加了 | 罚 (sum: 0.19),alc | ui | 销 | 消 | 管 (sum: 0.09),<|0.00|> | <|25.14|> | <|12.43|> | <|4.30|> | <|14.34|> (sum: 0.16),<|0.00|> | ichten | <|11.43|> | <|12.43|> | <|25.14|> (sum: 0.49)
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),8,物 | 旁 | 全 | 失败 | 玄 (sum: 0.10),雷 | 谐 | 滚 | 正是 | 融 (sum: 0.10),ota | 正是 | 雷 | 方 | 霏 (sum: 0.07),ota | 霏 | <|12.07|> | 共同发展 | ot (sum: 0.08)
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),16,介 | 玄 | 期待 | incon | 没能 (sum: 0.04),事儿 | feedback | 哪儿 | 嚼 | 雷 (sum: 0.11),事儿 | 哪儿 | 屁 | 焰 | 刚刚 (sum: 0.15),事儿 | 屁 | 霏 | 焰 | 刚刚 (sum: 0.08)
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),20,地 | 同 | ～ | 没能 | broccoli (sum: 0.08),享受到 | 瘾 | 湾 | feedback | 彻底 (sum: 0.08),屁 | 哪儿 | 享受到 | 彻底 | 冲突 (sum: 0.07),任 | 哪儿 | 回报 | 屁 | 相反 (sum: 0.10)
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),24, | 边 | 挺 | 地 | I (sum: 0.14),瘾 | brand | 铁 | 矿 | 双方 (sum: 0.07),铁 | 瘾 | 矿 | 感激 | 世界 (sum: 0.07),铁 | 一手 | 矿 | 点儿 | 感激 (sum: 0.06)
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),28, |  |  | int | 2 (sum: 0.53),brand | 瘾 | 双方 |  | `` (sum: 0.09),铁 | 双方 | 瘾 | brand |  (sum: 0.06),铁 | 瘾 | 双方 | 享受到 | 一手 (sum: 0.05)
QA held-out example,VAL_QA_000,pig,1,<|AUDIO|>, | 风格 |  | 2 | `` (sum: 0.04),30, |  | 2 | 铁 |  (sum: 0.16), | 双方 | `` | 瘾 | 风格 (sum: 0.05),双方 | 瘾 |  | `` | 风格 (sum: 0.04),双方 | 瘾 | 风格 | 轮廓 | `` (sum: 0.03)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),0,自卑 | � | anning | 替代 | 而言 (sum: 0.15),的声音 | 这就是 | 声音 | 生素 | 另一位 (sum: 0.11),中国市场 | 的声音 | 是否有 | 侵略 | 吸引了 (sum: 0.07),死亡 | <|im_end|> | Carbon | algun | 恰当 (sum: 0.04)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),8,替代 | 声 | 说话 | 怎么样 | 후 (sum: 0.08),而言 | 不对 | ict | 槌 | 官员 (sum: 0.13),ality | 而言 | 官员 | ur | 寡 (sum: 0.10),ality | 寡 | 加上 | ur | 官员 (sum: 0.09)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),16,制造 | ic | 奋斗 | 式 | 事儿 (sum: 0.07),声音 | 事儿 | 声响 | 声 | 音 (sum: 0.21),事儿 | 声音 | gy | 官员 | 声响 (sum: 0.08),果 | � | 被判 | 官员 | gy (sum: 0.10)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),20,2 | 十 | 制造 | - | . (sum: 0.21),官员 | 声 | 典型 | 喉 | silence (sum: 0.09),官员 | 喉 | 来找 | 再度 | 品 (sum: 0.10),官员 | 来找 | 感激 | scratches | 自身的 (sum: 0.08)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),24,- |  | ( |  | _ (sum: 0.53),笑话 | 喉 | 笑声 | 笑道 | 笑 (sum: 0.43),喉 | 笑话 | 笑声 | 笑 | 笑道 (sum: 0.16),ica | 排 | 屡 | � | 喉 (sum: 0.09)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),28, |  | - |  | . (sum: 0.91), | 喉 | . | 声 | 报 (sum: 0.56), | 喉 | 嗓子 | 声 | 端正 (sum: 0.27), | 喉 | 端正 | ica | 违法 (sum: 0.09)
QA held-out example,VAL_QA_000,pig,14,<|AUDIO|>, | 员 |  | 赐 | 再加上 (sum: 0.39),30, |  | 员 | 加 | end (sum: 0.42), | 员 |  | end | . (sum: 0.49), | 员 | 喉 | 祥 |  (sum: 0.32), | 员 | 祥 | 喉 | 周期 (sum: 0.18)
