Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction (Top K + Prob Sum),Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),0,失败 | 物 | 增加了 | 消 | 罚 (sum: 0.19),alc | ui | 销 | arcade | 消 (sum: 0.08),<|0.00|> | <|25.14|> | <|12.43|> | <|4.30|> | <|14.34|> (sum: 0.16),<|0.00|> | ichten | <|11.43|> | <|12.43|> | <|25.14|> (sum: 0.50)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),2,失败 | 物 | 代 | 旁 | 全 (sum: 0.02),urt | 阔 | cot | 雷 | rel (sum: 0.12), | <|endoftext|> | 沉 | 多 |  (sum: 0.15),<|0.00|> |  | 多 | <|endoftext|> |  (sum: 0.33)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),4,失败 | 物 | 全 | 旁 | 代 (sum: 0.02),些 | 溶 | urt | 罢了 | 一笔 (sum: 0.14), | 多 | 呈 | 溶 | 临 (sum: 0.14),<|0.00|> | 多 |  | <|endoftext|> |  (sum: 0.42)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),6,物 | 失败 | 旁 | 全 | 代 (sum: 0.02),构成 | ほど | 神经系统 | 临 |  (sum: 0.07), | <|0.00|> | <|endoftext|> | 多 | 临 (sum: 0.29),<|0.00|> | 多 |  | <|endoftext|> |  (sum: 0.36)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),8,物 | 旁 | 失败 | 增加了 | 玄 (sum: 0.08),谐 | 恩 | 滚 | 错 | 雷 (sum: 0.10),霏 | 腔 | 谐 | 错 | 方 (sum: 0.08),霏 | 腔 | <|1.44|> | ota | <|12.07|> (sum: 0.06)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),10,物 | 旁 | 玄 | 失败 | 增加了 (sum: 0.16),雷 | feedback | 恩 | 虹 | 方 (sum: 0.12),方 | ota | 腔 | feedback | 霏 (sum: 0.07),霏 | 腔 | <|1.44|> | <|12.07|> | ota (sum: 0.04)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),12,物 | 旁 | 玄 | 增加了 | 重点关注 (sum: 0.19),feedback | 麓 | 方 | 雷 | 反 (sum: 0.06),腔 | ota | 金属 | 麓 | 方 (sum: 0.05),腔 | <|12.07|> | 肽 | 律 | ota (sum: 0.04)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),14,玄 | 物 | 旁 | Bun | 重点关注 (sum: 0.21),feedback | 反复 | 麓 | 盟 | 雷 (sum: 0.10),金属 | 事儿 | feedback | 狗 | 方 (sum: 0.05),狗 | 肽 | 附加 | 荸 | tr (sum: 0.04)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),16,玄 | 旁 | 物 | 重点关注 | 淮 (sum: 0.15), | 价值观 | feedback | 雷 | 盟 (sum: 0.16),价值观 | 金属 |  | 关注 | 事儿 (sum: 0.05),附加 | 事儿 | 关注 | Stre | 荸 (sum: 0.03)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),18,岸 | 虹 | 框 | 巨 | 物 (sum: 0.04), |  | 空气质量 | AI | 价值观 (sum: 0.19), | R | {' | e | 关注 (sum: 0.06),tr | e | Stre | R | div (sum: 0.07)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),20,失败 | 母 | 寸 | 庭 | 玄 (sum: 0.05), | <|im_end|> | {' |  | AI (sum: 0.76), | {' | AI | I |  (sum: 0.27),I | D | tr | R | e (sum: 0.14)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),22,answer |  |  | <|startofword|> | limitation (sum: 0.08), |  | <|im_end|> |  | answer (sum: 1.00), |  |  | <|im_end|> | answer (sum: 0.99), |  |  | answer | {' (sum: 0.77)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),24, |  | 腿 | 娱乐 | 空 (sum: 0.42), |  | <|im_end|> |  | <|im_start|> (sum: 1.00), |  | <|im_end|> |  | <|im_start|> (sum: 0.99), |  |  | 腿 | 双腿 (sum: 0.95)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),26, |  | 格 | answer | 玄 (sum: 0.32),<|im_end|> |  | <|im_start|> |  |  (sum: 1.00),<|im_end|> | <|im_start|> |  |  |  (sum: 0.99),<|im_end|> | <|im_start|> |  |  |  (sum: 0.94)
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),28, |  | <|endoftext|> |  |  (sum: 0.99), |  | <|im_end|> | <|im_start|> |  (sum: 1.00),<|im_end|> | <|im_start|> |  |  |  (sum: 1.00),"<|im_end|> | <|im_start|> |  |  | \"":{\"" (sum: 1.00)"
QA held-out example,VAL_QA_000, ,25,<|AUDIO|>, | <|im_start|> |  | <|im_end|> | <|endoftext|> (sum: 1.00),30, |  | <|im_start|> | <|im_end|> | n (sum: 1.00), | <|im_start|> | <|im_end|> |  | <|endoftext|> (sum: 1.00), | <|im_start|> | <|im_end|> |  |  (sum: 1.00),<|im_start|> | <|im_end|> |  |  |  (sum: 1.00)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),0,自卑 | � | anning | 替代 | 而言 (sum: 0.14),的声音 | 这就是 | 声音 | 生素 | 另一位 (sum: 0.11),中国市场 | 是否有 | 侵略 | 的声音 | 他认为 (sum: 0.06),死亡 | <|im_end|> | algun | Carbon | 恰当 (sum: 0.05)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),2,自卑 | � | anning | 替代 | 也知道 (sum: 0.10),stat | 声音 | 的声音 | 转移 | 发音 (sum: 0.11),ict | 声 | 事儿 | 中国市场 | 声音 (sum: 0.07),ict | 违法违规 | 佑 | 📣 | (expression (sum: 0.03)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),4,也知道 | anning | 替代 | 自卑 | � (sum: 0.12),发音 | 声音 | stat | 转移 | noise (sum: 0.20),声 | ict | 事儿 | 声音 | 他说 (sum: 0.08),佑 | (expression | 违法违规 | 风控 | URLConnection (sum: 0.03)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),6,也知道 | anning | 怎么样 | 替代 | 如何 (sum: 0.08),而言 | 发音 | 声音 | 他说 | 声 (sum: 0.35),声 | 他说 | 事儿 | 声音 | 说话 (sum: 0.12),(expression | 事 | URLConnection | 风控 | 舌头 (sum: 0.02)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),8,替代 | 也知道 | 密切 | 各项工作 | 强大 (sum: 0.08),而言 | 发音 | 没错 | 声音 | 转移 (sum: 0.16),而言 | ality | 事 | 担保 | ict (sum: 0.09),ality | 寡 | 一切 | 练 | 加上 (sum: 0.07)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),10,强大 | anning | 庶 | 通往 | 替代 (sum: 0.08),而言 | 在他 | 他说 | himself | 他知道 (sum: 0.42),而言 | 在他 | ality | 事 | 他说 (sum: 0.17),ality | 加强 | 加上 | 上下游 | 细节 (sum: 0.12)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),12,强大 | exercício | 而言 | --; | 通往 (sum: 0.10),而言 | 他说 | 模糊 | 来看 | 事 (sum: 0.19),而言 | 事 | span | ality | 来看 (sum: 0.12),ality | 事 | 加强 | ica | 加上 (sum: 0.09)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),14,exercício | 那儿 | 式 | als | 涸 (sum: 0.08),事 | 而言 | 事儿 | 他说 | 的事 (sum: 0.13),事 | 而言 | 伍 | 事儿 | 男孩 (sum: 0.12),事 | 伍 | ivo | 加强 | pt (sum: 0.08)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),16,なか | 演化 | exercício | 簟 | chir (sum: 0.08),unch | 事 | 声音 | 事儿 | 槌 (sum: 0.08),事 | unch | 小麦 | こと | 偃 (sum: 0.07),加速 | ivo | 加强 | 果 | ica (sum: 0.10)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),18,操 | 制造 | 2 | 怎么样 | 平米 (sum: 0.12),麦克 | 缩短 | unch | 声音 | 声 (sum: 0.16),缩短 | 果 | 空 | 麦克 | 小麦 (sum: 0.09),果 | 加速 | 大声 | 空 | 一切 (sum: 0.09)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),20,操 | 2 | ens | en | 3 (sum: 0.24),silence | 独 | 麦克 | 模糊 | 语音 (sum: 0.15),silence | 小微 | 独 | 官员 | 知道 (sum: 0.10),小微 | 官员 | ence | 果 | silence (sum: 0.05)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),22,操 | 摊 | 肯定 | ict | 独 (sum: 0.14), | . |  | 笑声 | 笑道 (sum: 0.17),转移 | 口水 | 知道 | 屡 | 独 (sum: 0.06),屡 | 法庭 | 口水 | 转移 | 苦笑 (sum: 0.06)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),24,独 | ( |  | - | 消费 (sum: 0.15),笑声 | 笑道 | laughter | 哈哈 | 笑了 (sum: 0.21),苦笑 | laughter | 笑声 | 笑了 | 笑 (sum: 0.13),苦笑 | humor | 中间 | laughter | 法庭 (sum: 0.08)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),26,员 | 同意 | 般 | spot | 式 (sum: 0.09),同意 |  | . | 式 |  (sum: 0.19),mic | spot | vr | 员 | 同意 (sum: 0.06),vr | 物 | 员 | 中间 | mic (sum: 0.07)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),28, | ( |  | - | - (sum: 0.77),惊叹 | 嗓子 | spot | . |  (sum: 0.15),嗓子 | spot | 惊叹 | 贝尔 | ware (sum: 0.11),spot | ware | 嗓子 | 贝尔 | mic (sum: 0.07)
QA held-out example,VAL_QA_000, ,38,<|AUDIO|>,嗓子 | sound |  | etic | 羊 (sum: 0.28),30, | spot |  | etic | atic (sum: 0.25),spot |  | . |  | atic (sum: 0.24),spot | atic | 嗓子 | <|im_end|> | sound (sum: 0.30),spot | 嗓子 | atic | <|im_end|> | sound (sum: 0.41)
QA held-out example,VAL_QA_000, ,52,<|AUDIO|>," | <|im_end|> | , | . | 空间 (sum: 0.44)",0,踌 | 保管 | 舌 | <|3.52|> | 怎么样 (sum: 0.16),<|0.00|> | himself | 生素 | themselves | 在他的 (sum: 1.00),himself | 但是他 | 在他的 | 莲花 | 在他 (sum: 0.25),赌 | 赌博 | 死亡 | 招聘会 | Carbon (sum: 0.04)
QA held-out example,VAL_QA_000, ,52,<|AUDIO|>," | <|im_end|> | , | . | 空间 (sum: 0.44)",2,保管 | 踌 | 舌 | 加以 | 强大 (sum: 0.19),<|0.00|> | himself | 在他 | 但他 | themselves (sum: 1.00),himself | <|0.00|> | 生素 | 但是他 | 莲花 (sum: 0.18),udiante | xpath | 赌博 | 身边 | 违法违规 (sum: 0.03)
QA held-out example,VAL_QA_000, ,52,<|AUDIO|>," | <|im_end|> | , | . | 空间 (sum: 0.44)",4,踌 | 保管 | 舌 | <|3.52|> | <|3.51|> (sum: 0.14),<|0.00|> | himself | 但他 | 在他 | 但他们 (sum: 0.94),himself | xpath | 增值服务 | 告诉他 | 生素 (sum: 0.15),xpath | udiante | 拂 | 增值服务 | 身边 (sum: 0.03)
QA held-out example,VAL_QA_000, ,52,<|AUDIO|>," | <|im_end|> | , | . | 空间 (sum: 0.44)",6,踌 | 舌 | <|3.52|> | 作弊 | 如何 (sum: 0.13),<|0.00|> | himself | 他说 | 在他 | 但他 (sum: 0.96),himself | 他说 | 呛 | 担保 | xpath (sum: 0.16),拂 | xpath | 身边 | udiante | .clearRect (sum: 0.02)
QA held-out example,VAL_QA_000, ,52,<|AUDIO|>," | <|im_end|> | , | . | 空间 (sum: 0.44)",8,查看更多 | 喻 | 踌 | 编剧 | 座谈会上 (sum: 0.08),<|0.00|> | himself | 担保 | 他说 | 但他 (sum: 0.81),担保 | <|0.00|> | himself | 作弊 | gy (sum: 0.39),担保 | general | 潮流 | 毯 | 拂 (sum: 0.11)
